"Country","Airline","Country of Origin","Main Airports in country"
"Burkina Faso","Qatar Airways","Qatar","Burkina Faso: Thomas Sankara International Airport Ouagadougou (OUA)"
"Burundi","Qatar Airways","Qatar","Burundi: Bujumbura International Airport (BJM)"
"Cambodia","Qatar Airways","Qatar","Cambodia: Phnom Penh International Airport (PNH)"
"Canada","Qatar Airways","Qatar","Canada: Toronto Pearson International Airport (YYZ)"
"Cape Verde","Qatar Airways","Qatar","Cape Verde: Nelson Mandela International Airport (RAI)"
"Cayman Islands","Qatar Airways","Qatar","Cayman Islands: Owen Roberts International Airport (GCM)"
"Chile","Qatar Airways","Qatar","Chile: Arturo Merino Benítez International Airport (SCL)"
"China","Qatar Airways","Qatar","China: Beijing Capital International Airport (PEK)"
"Colombia","Qatar Airways","Qatar","Colombia: El Dorado International Airport (BOG)"
"Comoros","Qatar Airways","Qatar","Comoros: Prince Said Ibrahim International Airport (HAH)"
"Congo Democratic Republic of","Qatar Airways","Qatar","Congo Democratic Republic of: N'djili Airport (FIH)"
"Congo Republic of","Qatar Airways","Qatar","Congo Republic of: Maya-Maya Airport (BZV)"
"Costa Rica","Qatar Airways","Qatar","Costa Rica: Juan Santamaría International Airport (SJO)"
"Côte d'Ivoire","Qatar Airways","Qatar","Côte d'Ivoire: Félix-Houphouët-Boigny International Airport (ABJ)"
"Croatia","Qatar Airways","Qatar","Croatia: Zagreb Airport (ZAG)"
"Cuba","Qatar Airways","Qatar","Cuba: José Martí International Airport (HAV)"
"Curaçao","Qatar Airways","Qatar","Curaçao: Curaçao International Airport (CUR)"
"Cyprus","Qatar Airways","Qatar","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Qatar Airways","Qatar","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Qatar Airways","Qatar","Denmark: Copenhagen Airport (CPH)"
"Djibouti","Qatar Airways","Qatar","Djibouti: Djibouti–Ambouli International Airport (JIB)"
"Dominica","Qatar Airways","Qatar","Dominica: Douglas–Charles Airport (DOM)"
"Dominican Republic","Qatar Airways","Qatar","Dominican Republic: Las Américas International Airport (SDQ)"
"Ecuador","Qatar Airways","Qatar","Ecuador: Mariscal Sucre International Airport (UIO)"
"Egypt","Qatar Airways","Qatar","Egypt: Cairo International Airport (CAI)"
"El Salvador","Qatar Airways","Qatar","El Salvador: El Salvador International Airport (SAL)"
"Equatorial Guinea","Qatar Airways","Qatar","Equatorial Guinea: Malabo International Airport (SSG)"
"Eritrea","Qatar Airways","Qatar","Eritrea: Asmara International Airport (ASM)"
"Estonia","Qatar Airways","Qatar","Estonia: Tallinn Airport (TLL)"
"Eswatini","Qatar Airways","Qatar","Eswatini: King Mswati III International Airport (SHO)"
"Ethiopia","Qatar Airways","Qatar","Ethiopia: Addis Ababa Bole International Airport (ADD)"
"Fiji","Qatar Airways","Qatar","Fiji: Nadi International Airport (NAN)"
"Finland","Qatar Airways","Qatar","Finland: Helsinki-Vantaa Airport (HEL)"
"France","Qatar Airways","Qatar","France: Paris Charles de Gaulle Airport (CDG)"
"Gabon","Qatar Airways","Qatar","Gabon: Léon-Mba International Airport (LBV)"
"Gambia","Qatar Airways","Qatar","Gambia: Banjul International Airport (BJL)"
"Georgia","Qatar Airways","Qatar","Georgia: Tbilisi International Airport (TBS)"
"Germany","Qatar Airways","Qatar","Germany: Frankfurt Airport (FRA)"
"Ghana","Qatar Airways","Qatar","Ghana: Kotoka International Airport (ACC)"
"Greece","Qatar Airways","Qatar","Greece: Athens International Airport (ATH)"
"Grenada","Qatar Airways","Qatar","Grenada: Maurice Bishop International Airport (GND)"
"Guam","Qatar Airways","Qatar","Guam: Antonio B. Won Pat International Airport (GUM)"
"Guatemala","Qatar Airways","Qatar","Guatemala: La Aurora International Airport (GUA)"
"Guinea","Qatar Airways","Qatar","Guinea: Conakry International Airport (CKY)"
"Guinea-Bissau","Qatar Airways","Qatar","Guinea-Bissau: Osvaldo Vieira International Airport (OXB)"
"Guyana","Qatar Airways","Qatar","Guyana: Cheddi Jagan International Airport (GEO)"
"Haiti","Qatar Airways","Qatar","Haiti: Toussaint Louverture International Airport (PAP)"
"Honduras","Qatar Airways","Qatar","Honduras: Toncontín International Airport (TGU)"
"Hong Kong","Qatar Airways","Qatar","Hong Kong: Hong Kong International Airport (HKG)"
"Hungary","Qatar Airways","Qatar","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Iceland","Qatar Airways","Qatar","Iceland: Keflavík International Airport (KEF)"
"India","Qatar Airways","Qatar","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Qatar Airways","Qatar","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Iran","Qatar Airways","Qatar","Iran: Imam Khomeini International Airport (IKA)"
"Iraq","Qatar Airways","Qatar","Iraq: Baghdad International Airport (BGW)"
"Ireland","Qatar Airways","Qatar","Ireland: Dublin Airport (DUB)"
"Israel","Qatar Airways","Qatar","Israel: Ben Gurion Airport (TLV)"
"Italy","Qatar Airways","Qatar","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Ivory Coast","Qatar Airways","Qatar","Ivory Coast: Félix-Houphouët-Boigny International Airport (ABJ)"
"Jamaica","Qatar Airways","Qatar","Jamaica: Norman Manley International Airport (KIN)"
"Japan","Qatar Airways","Qatar","Japan: Tokyo Haneda Airport (HND)"
"Jordan","Qatar Airways","Qatar","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Qatar Airways","Qatar","Kazakhstan: Almaty International Airport (ALA)"
"Kenya","Qatar Airways","Qatar","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kiribati","Qatar Airways","Qatar","Kiribati: Cassidy International Airport (CXI)"
"Kosovo","Qatar Airways","Qatar","Kosovo: Pristina International Airport (PRN)"
"Kuwait","Qatar Airways","Qatar","Kuwait: Kuwait International Airport (KWI)"
"Kyrgyzstan","Qatar Airways","Qatar","Kyrgyzstan: Manas International Airport (FRU)"
"Laos","Qatar Airways","Qatar","Laos: Wattay International Airport (VTE)"
"Latvia","Qatar Airways","Qatar","Latvia: Riga International Airport (RIX)"
"Lebanon","Qatar Airways","Qatar","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Lesotho","Qatar Airways","Qatar","Lesotho: Moshoeshoe I International Airport (MSU)"
"Liberia","Qatar Airways","Qatar","Liberia: Roberts International Airport (ROB)"
"Libya","Qatar Airways","Qatar","Libya: Tripoli International Airport (TIP)"
"Liechtenstein","Qatar Airways","Qatar","Liechtenstein: St. Gallen–Altenrhein Airport (ACH)"
"Lithuania","Qatar Airways","Qatar","Lithuania: Vilnius International Airport (VNO)"
"Luxembourg","Qatar Airways","Qatar","Luxembourg: Luxembourg Airport (LUX)"
"Macao","Qatar Airways","Qatar","Macao: Macau International Airport (MFM)"
"Madagascar","Qatar Airways","Qatar","Madagascar: Ivato International Airport (TNR)"
"Malawi","Qatar Airways","Qatar","Malawi: Lilongwe International Airport (LLW)"
"Malaysia","Qatar Airways","Qatar","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Qatar Airways","Qatar","Maldives: Velana International Airport (MLE)"
"Mali","Qatar Airways","Qatar","Mali: Modibo Keita International Airport (BKO)"
"Malta","Qatar Airways","Qatar","Malta: Malta International Airport (MLA)"
"Marshall Islands","Qatar Airways","Qatar","Marshall Islands: Marshall Islands International Airport (MAJ)"
"Mauritania","Qatar Airways","Qatar","Mauritania: Nouakchott–Oumtounsy International Airport (NKC)"
"Mauritius","Qatar Airways","Qatar","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Mayotte","Qatar Airways","Qatar","Mayotte: Dzaoudzi–Pamandzi International Airport (DZA)"
"Mexico","Qatar Airways","Qatar","Mexico: Mexico City International Airport (MEX)"
"Micronesia","Qatar Airways","Qatar","Micronesia: Pohnpei International Airport (PNI)"
"Moldova","Qatar Airways","Qatar","Moldova: Chișinău International Airport (KIV)"
"Monaco","Qatar Airways","Qatar","Monaco: Nice Côte d'Azur Airport (NCE)"
"Mongolia","Qatar Airways","Qatar","Mongolia: Chinggis Khaan International Airport (UBN)"
"Montenegro","Qatar Airways","Qatar","Montenegro: Podgorica Airport (TGD)"
"Morocco","Qatar Airways","Qatar","Morocco: Mohammed V International Airport (CMN)"
"Mozambique","Qatar Airways","Qatar","Mozambique: Maputo International Airport (MPM)"
"Myanmar","Qatar Airways","Qatar","Myanmar: Yangon International Airport (RGN)"
"Namibia","Qatar Airways","Qatar","Namibia: Hosea Kutako International Airport (WDH)"
"Nauru","Qatar Airways","Qatar","Nauru: Nauru International Airport (INU)"
"Nepal","Qatar Airways","Qatar","Nepal: Tribhuvan International Airport (KTM)"
"Netherlands","Qatar Airways","Qatar","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Caledonia","Qatar Airways","Qatar","New Caledonia: La Tontouta International Airport (NOU)"
"New Zealand","Qatar Airways","Qatar","New Zealand: Auckland Airport (AKL)"
"Nicaragua","Qatar Airways","Qatar","Nicaragua: Augusto C. Sandino International Airport (MGA)"
"Niger","Qatar Airways","Qatar","Niger: Diori Hamani International Airport (NIM)"
"Nigeria","Qatar Airways","Qatar","Nigeria: Murtala Muhammed International Airport (LOS)"
"Niue","Qatar Airways","Qatar","Niue: Hanan International Airport (HNR)"
"North Korea","Qatar Airways","Qatar","North Korea: Pyongyang Sunan International Airport (FNJ)"
"North Macedonia","Qatar Airways","Qatar","North Macedonia: Skopje International Airport (SKP)"
"Northern Mariana Islands","Qatar Airways","Qatar","Northern Mariana Islands: Saipan International Airport (SPN)"
"Norway","Qatar Airways","Qatar","Norway: Oslo Airport"
"Oman","Qatar Airways","Qatar","Oman: Muscat International Airport (MCT)"
"Pakistan","Qatar Airways","Qatar","Pakistan: Jinnah International Airport (KHI)"
"Palau","Qatar Airways","Qatar","Palau: Palau International Airport (ROR)"
"Palestine","Qatar Airways","Qatar","Palestine: Queen Alia International Airport (AMM)"
"Panama","Qatar Airways","Qatar","Panama: Tocumen International Airport (PTY)"
"Papua New Guinea","Qatar Airways","Qatar","Papua New Guinea: Jacksons International Airport (POM)"
"Paraguay","Qatar Airways","Qatar","Paraguay: Silvio Pettirossi International Airport (ASU)"
"Peru","Qatar Airways","Qatar","Peru: Jorge Chávez International Airport (LIM)"
"Philippines","Qatar Airways","Qatar","Philippines: Ninoy Aquino International Airport (MNL)"
"Poland","Qatar Airways","Qatar","Poland: Warsaw Chopin Airport (WAW)"
"Portugal","Qatar Airways","Qatar","Portugal: Lisbon Portela Airport (LIS)"
"Qatar","Qatar Airways","Qatar","Qatar: Hamad International Airport (DOH)"
"Republic of the Congo","Qatar Airways","Qatar","Republic of the Congo: Maya-Maya Airport (BZV)"
"Romania","Qatar Airways","Qatar","Romania: Henri Coandă International Airport (OTP)"
"Russia","Qatar Airways","Qatar","Russia: Sheremetyevo International Airport (SVO)"
"Rwanda","Qatar Airways","Qatar","Rwanda: Kigali International Airport (KGL)"
"Saint Kitts and Nevis","Qatar Airways","Qatar","Saint Kitts and Nevis: Robert L. Bradshaw International Airport (SKB)"
"Saint Lucia","Qatar Airways","Qatar","Saint Lucia: Hewanorra International Airport (UVF)"
"Saint Vincent and the Grenadines","Qatar Airways","Qatar","Saint Vincent and the Grenadines: Argyle International Airport (SVD)"
"Samoa","Qatar Airways","Qatar","Samoa: Faleolo International Airport (APW)"
"San Marino","Qatar Airways","Qatar","San Marino: Federico Fellini International Airport (RMI)"
"São Tomé and Príncipe","Qatar Airways","Qatar","São Tomé and Príncipe: São Tomé International Airport (TMS)"
"Saudi Arabia","Qatar Airways","Qatar","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Senegal","Qatar Airways","Qatar","Senegal: Blaise Diagne International Airport (DSS)"
"Serbia","Qatar Airways","Qatar","Serbia: Belgrade Nikola Tesla Airport (BEG)"
"Seychelles","Qatar Airways","Qatar","Seychelles: Seychelles International Airport (SEZ)"
"Sierra Leone","Qatar Airways","Qatar","Sierra Leone: Lungi International Airport (FNA)"
"Singapore","Qatar Airways","Qatar","Singapore: Singapore Changi Airport (SIN)"
"Slovakia","Qatar Airways","Qatar","Slovakia: Bratislava Airport (BTS)"
"Slovenia","Qatar Airways","Qatar","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"Solomon Islands","Qatar Airways","Qatar","Solomon Islands: Honiara International Airport (HIR)"
"Somalia","Qatar Airways","Qatar","Somalia: Aden Adde International Airport (MGQ)"
"South Africa","Qatar Airways","Qatar","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","Qatar Airways","Qatar","South Korea: Incheon International Airport (ICN)"
"South Sudan","Qatar Airways","Qatar","South Sudan: Juba International Airport (JUB)"
"Spain","Qatar Airways","Qatar","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Qatar Airways","Qatar","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sudan","Qatar Airways","Qatar","Sudan: Khartoum International Airport (KRT)"
"Suriname","Qatar Airways","Qatar","Suriname: Johan Pengel International Airport (PBM)"
"Sweden","Qatar Airways","Qatar","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Qatar Airways","Qatar","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Qatar Airways","Qatar","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Tajikistan","Qatar Airways","Qatar","Tajikistan: Dushanbe International Airport (DYU)"
"Tanzania","Qatar Airways","Qatar","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","Qatar Airways","Qatar","Thailand: Suvarnabhumi Airport (BKK)"
"Timor-Leste","Qatar Airways","Qatar","Timor-Leste: Presidente Nicolau Lobato International Airport (DILI)"
"Togo","Qatar Airways","Qatar","Togo: Lomé–Tokoin International Airport (LFW)"
"Tonga","Qatar Airways","Qatar","Tonga: Fua'amotu International Airport (TBU)"
"Trinidad and Tobago","Qatar Airways","Qatar","Trinidad and Tobago: Piarco International Airport (POS)"
"Tunisia","Qatar Airways","Qatar","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Qatar Airways","Qatar","Turkey: Istanbul Airport (IST)"
"Turkmenistan","Qatar Airways","Qatar","Turkmenistan: Ashgabat International Airport (ASB)"
"Tuvalu","Qatar Airways","Qatar","Tuvalu: Funafuti International Airport (FUN)"
"Uganda","Qatar Airways","Qatar","Uganda: Entebbe International Airport (EBB)"
"Ukraine","Qatar Airways","Qatar","Ukraine: Boryspil International Airport (KBP)"
"United Arab Emirates","Qatar Airways","Qatar","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Qatar Airways","Qatar","United Kingdom: London Heathrow Airport (LHR)"
"United States","Qatar Airways","Qatar","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Uruguay","Qatar Airways","Qatar","Uruguay: Carrasco International Airport (MVD)"
"Uzbekistan","Qatar Airways","Qatar","Uzbekistan: Tashkent International Airport (TAS)"
"Vanuatu","Qatar Airways","Qatar","Vanuatu: Bauerfield International Airport (VLI)"
"Vatican City","Qatar Airways","Qatar","Vatican City: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Venezuela","Qatar Airways","Qatar","Venezuela: Simón Bolívar International Airport (CCS)"
"Vietnam","Qatar Airways","Qatar","Vietnam: Noi Bai International Airport (HAN)"
"Yemen","Qatar Airways","Qatar","Yemen: Aden International Airport (ADE)"
"Zambia","Qatar Airways","Qatar","Zambia: Kenneth Kaunda International Airport (LUN)"
"Zimbabwe","Qatar Airways","Qatar","Zimbabwe: Robert Gabriel Mugabe International Airport (HRE)"
"Albania","Saudia","Saudi Arabia","Albania: Tirana International Airport (TIA)"
"Algeria","Saudia","Saudi Arabia","Algeria: Houari Boumediene Airport (ALG)"
"Armenia","Saudia","Saudi Arabia","Armenia: Zvartnots International Airport (EVN)"
"Australia","Saudia","Saudi Arabia","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Saudia","Saudi Arabia","Austria: Vienna International Airport (VIE)"
"Azerbaijan","Saudia","Saudi Arabia","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bahrain","Saudia","Saudi Arabia","Bahrain: Bahrain International Airport (BAH)"
"Bangladesh","Saudia","Saudi Arabia","Bangladesh: Shahjalal International Airport (DAC)"
"Bosnia and Herzegovina","Saudia","Saudi Arabia","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Brazil","Saudia","Saudi Arabia","Brazil: São Paulo/Guarulhos International Airport (GRU)"
"Bulgaria","Saudia","Saudi Arabia","Bulgaria: Sofia Airport (SOF)"
"Canada","Saudia","Saudi Arabia","Canada: Toronto Pearson International Airport (YYZ)"
"China","Saudia","Saudi Arabia","China: Beijing Capital International Airport (PEK)"
"Colombia","Saudia","Saudi Arabia","Colombia: El Dorado International Airport (BOG)"
"Comoros","Saudia","Saudi Arabia","Comoros: Prince Said Ibrahim International Airport (HAH)"
"Djibouti","Saudia","Saudi Arabia","Djibouti: Djibouti–Ambouli International Airport (JIB)"
"Egypt","Saudia","Saudi Arabia","Egypt: Cairo International Airport (CAI)"
"Ethiopia","Saudia","Saudi Arabia","Ethiopia: Addis Ababa Bole International Airport (ADD)"
"France","Saudia","Saudi Arabia","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Saudia","Saudi Arabia","Germany: Frankfurt Airport (FRA)"
"Greece","Saudia","Saudi Arabia","Greece: Athens International Airport (ATH)"
"India","Saudia","Saudi Arabia","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Saudia","Saudi Arabia","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Iraq","Saudia","Saudi Arabia","Iraq: Baghdad International Airport (BGW)"
"Jordan","Saudia","Saudi Arabia","Jordan: Queen Alia International Airport (AMM)"
"Kazakhstan","Saudia","Saudi Arabia","Kazakhstan: Almaty International Airport (ALA)"
"Kenya","Saudia","Saudi Arabia","Kenya: Jomo Kenyatta International Airport (NBO)"
"Kuwait","Saudia","Saudi Arabia","Kuwait: Kuwait International Airport (KWI)"
"Lebanon","Saudia","Saudi Arabia","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Malaysia","Saudia","Saudi Arabia","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Saudia","Saudi Arabia","Maldives: Velana International Airport (MLE)"
"Mauritius","Saudia","Saudi Arabia","Mauritius: Sir Seewoosagur Ramgoolam International Airport (MRU)"
"Morocco","Saudia","Saudi Arabia","Morocco: Mohammed V International Airport (CMN)"
"Pakistan","Saudia","Saudi Arabia","Pakistan: Jinnah International Airport (KHI)"
"Philippines","Saudia","Saudi Arabia","Philippines: Ninoy Aquino International Airport (MNL)"
"Qatar","Saudia","Saudi Arabia","Qatar: Hamad International Airport (DOH)"
"South Africa","Saudia","Saudi Arabia","South Africa: O. R. Tambo International Airport (JNB)"
"Sri Lanka","Saudia","Saudi Arabia","Sri Lanka: Bandaranaike International Airport (CMB)"
"Sudan","Saudia","Saudi Arabia","Sudan: Khartoum International Airport (KRT)"
"Sweden","Saudia","Saudi Arabia","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Saudia","Saudi Arabia","Switzerland: Zurich Airport (ZRH)"
"Syria","Saudia","Saudi Arabia","Syria: Damascus International Airport (DAM)"
"Tanzania","Saudia","Saudi Arabia","Tanzania: Julius Nyerere International Airport (DAR)"
"Thailand","Saudia","Saudi Arabia","Thailand: Suvarnabhumi Airport (BKK)"
"Tunisia","Saudia","Saudi Arabia","Tunisia: Tunis–Carthage International Airport (TUN)"
"Turkey","Saudia","Saudi Arabia","Turkey: Istanbul Airport (IST)"
"Uganda","Saudia","Saudi Arabia","Uganda: Entebbe International Airport (EBB)"
"United Arab Emirates","Saudia","Saudi Arabia","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Saudia","Saudi Arabia","United Kingdom: London Heathrow Airport (LHR)"
"United States","Saudia","Saudi Arabia","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Bahrain","flynas","Saudi Arabia","Bahrain: Bahrain International Airport (BAH)"
"Egypt","flynas","Saudi Arabia","Egypt: Cairo International Airport (CAI)"
"France","flynas","Saudi Arabia","France: Paris Charles de Gaulle Airport (CDG)"
"India","flynas","Saudi Arabia","India: Indira Gandhi International Airport (DEL)"
"Iraq","flynas","Saudi Arabia","Iraq: Baghdad International Airport (BGW)"
"Jordan","flynas","Saudi Arabia","Jordan: Queen Alia International Airport (AMM)"
"Kuwait","flynas","Saudi Arabia","Kuwait: Kuwait International Airport (KWI)"
"Lebanon","flynas","Saudi Arabia","Lebanon: Beirut–Rafic Hariri International Airport (BEY)"
"Morocco","flynas","Saudi Arabia","Morocco: Mohammed V International Airport (CMN)"
"Pakistan","flynas","Saudi Arabia","Pakistan: Jinnah International Airport (KHI)"
"Saudi Arabia","flynas","Saudi Arabia","Saudi Arabia: King Abdulaziz International Airport (JED)"
"Sudan","flynas","Saudi Arabia","Sudan: Khartoum International Airport (KRT)"
"Turkey","flynas","Saudi Arabia","Turkey: Istanbul Airport (IST)"
"United Arab Emirates","flynas","Saudi Arabia","United Arab Emirates: Dubai International Airport (DXB)"
"Albania","Air Serbia","Serbia","Albania: Tirana International Airport (TIA)"
"Armenia","Air Serbia","Serbia","Armenia: Zvartnots International Airport (EVN)"
"Austria","Air Serbia","Serbia","Austria: Vienna International Airport (VIE)"
"Azerbaijan","Air Serbia","Serbia","Azerbaijan: Heydar Aliyev International Airport (GYD)"
"Bosnia and Herzegovina","Air Serbia","Serbia","Bosnia and Herzegovina: Sarajevo International Airport (SJJ)"
"Bulgaria","Air Serbia","Serbia","Bulgaria: Sofia Airport (SOF)"
"China","Air Serbia","Serbia","China: Beijing Capital International Airport (PEK)"
"Croatia","Air Serbia","Serbia","Croatia: Zagreb Airport (ZAG)"
"Cyprus","Air Serbia","Serbia","Cyprus: Larnaca International Airport (LCA)"
"Czech Republic","Air Serbia","Serbia","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Air Serbia","Serbia","Denmark: Copenhagen Airport (CPH)"
"Egypt","Air Serbia","Serbia","Egypt: Cairo International Airport (CAI)"
"France","Air Serbia","Serbia","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Air Serbia","Serbia","Germany: Frankfurt Airport (FRA)"
"Greece","Air Serbia","Serbia","Greece: Athens International Airport (ATH)"
"Hungary","Air Serbia","Serbia","Hungary: Budapest Ferenc Liszt International Airport (BUD)"
"Israel","Air Serbia","Serbia","Israel: Ben Gurion Airport (TLV)"
"Italy","Air Serbia","Serbia","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Jordan","Air Serbia","Serbia","Jordan: Queen Alia International Airport (AMM)"
"Kosovo","Air Serbia","Serbia","Kosovo: Pristina International Airport (PRN)"
"Kuwait","Air Serbia","Serbia","Kuwait: Kuwait International Airport (KWI)"
"Libya","Air Serbia","Serbia","Libya: Tripoli International Airport (TIP)"
"Montenegro","Air Serbia","Serbia","Montenegro: Podgorica Airport (TGD)"
"Morocco","Air Serbia","Serbia","Morocco: Mohammed V International Airport (CMN)"
"Netherlands","Air Serbia","Serbia","Netherlands: Amsterdam Airport Schiphol (AMS)"
"North Macedonia","Air Serbia","Serbia","North Macedonia: Skopje International Airport (SKP)"
"Poland","Air Serbia","Serbia","Poland: Warsaw Chopin Airport (WAW)"
"Qatar","Air Serbia","Serbia","Qatar: Hamad International Airport (DOH)"
"Romania","Air Serbia","Serbia","Romania: Henri Coandă International Airport (OTP)"
"Russia","Air Serbia","Serbia","Russia: Sheremetyevo International Airport (SVO)"
"Slovenia","Air Serbia","Serbia","Slovenia: Ljubljana Jože Pučnik Airport (LJU)"
"Sweden","Air Serbia","Serbia","Sweden: Stockholm Arlanda Airport (ARN)"
"Switzerland","Air Serbia","Serbia","Switzerland: Zurich Airport (ZRH)"
"Turkey","Air Serbia","Serbia","Turkey: Istanbul Airport (IST)"
"United Arab Emirates","Air Serbia","Serbia","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Air Serbia","Serbia","United Kingdom: London Heathrow Airport (LHR)"
"Australia","Singapore Airlines","Singapore","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Singapore Airlines","Singapore","Austria: Vienna International Airport (VIE)"
"Bangladesh","Singapore Airlines","Singapore","Bangladesh: Shahjalal International Airport (DAC)"
"Belgium","Singapore Airlines","Singapore","Belgium: Brussels Airport (BRU)"
"Brunei","Singapore Airlines","Singapore","Brunei: Brunei International Airport (BWN)"
"Cambodia","Singapore Airlines","Singapore","Cambodia: Phnom Penh International Airport (PNH)"
"Canada","Singapore Airlines","Singapore","Canada: Toronto Pearson International Airport (YYZ)"
"China","Singapore Airlines","Singapore","China: Beijing Capital International Airport (PEK)"
"Denmark","Singapore Airlines","Singapore","Denmark: Copenhagen Airport (CPH)"
"France","Singapore Airlines","Singapore","France: Paris Charles de Gaulle Airport (CDG)"
"Germany","Singapore Airlines","Singapore","Germany: Frankfurt Airport (FRA)"
"Greece","Singapore Airlines","Singapore","Greece: Athens International Airport (ATH)"
"Hong Kong","Singapore Airlines","Singapore","Hong Kong: Hong Kong International Airport (HKG)"
"India","Singapore Airlines","Singapore","India: Indira Gandhi International Airport (DEL)"
"Indonesia","Singapore Airlines","Singapore","Indonesia: Soekarno–Hatta International Airport (CGK)"
"Italy","Singapore Airlines","Singapore","Italy: Leonardo da Vinci–Fiumicino Airport (FCO)"
"Japan","Singapore Airlines","Singapore","Japan: Tokyo Haneda Airport (HND)"
"Macao","Singapore Airlines","Singapore","Macao: Macau International Airport (MFM)"
"Malaysia","Singapore Airlines","Singapore","Malaysia: Kuala Lumpur International Airport (KUL)"
"Maldives","Singapore Airlines","Singapore","Maldives: Velana International Airport (MLE)"
"Myanmar","Singapore Airlines","Singapore","Myanmar: Yangon International Airport (RGN)"
"Netherlands","Singapore Airlines","Singapore","Netherlands: Amsterdam Airport Schiphol (AMS)"
"New Zealand","Singapore Airlines","Singapore","New Zealand: Auckland Airport (AKL)"
"Philippines","Singapore Airlines","Singapore","Philippines: Ninoy Aquino International Airport (MNL)"
"Russia","Singapore Airlines","Singapore","Russia: Sheremetyevo International Airport (SVO)"
"South Africa","Singapore Airlines","Singapore","South Africa: O. R. Tambo International Airport (JNB)"
"South Korea","Singapore Airlines","Singapore","South Korea: Incheon International Airport (ICN)"
"Spain","Singapore Airlines","Singapore","Spain: Adolfo Suárez Madrid–Barajas Airport (MAD)"
"Sri Lanka","Singapore Airlines","Singapore","Sri Lanka: Bandaranaike International Airport (CMB)"
"Switzerland","Singapore Airlines","Singapore","Switzerland: Zurich Airport (ZRH)"
"Taiwan","Singapore Airlines","Singapore","Taiwan: Taiwan Taoyuan International Airport (TPE)"
"Thailand","Singapore Airlines","Singapore","Thailand: Suvarnabhumi Airport (BKK)"
"United Arab Emirates","Singapore Airlines","Singapore","United Arab Emirates: Dubai International Airport (DXB)"
"United Kingdom","Singapore Airlines","Singapore","United Kingdom: London Heathrow Airport (LHR)"
"United States","Singapore Airlines","Singapore","United States: Hartsfield–Jackson Atlanta International Airport (ATL)"
"Vietnam","Singapore Airlines","Singapore","Vietnam: Noi Bai International Airport (HAN)"
"Australia","Korean Air","South Korea","Australia: Sydney Kingsford Smith Airport (SYD)"
"Austria","Korean Air","South Korea","Austria: Vienna International Airport (VIE)"
"Bangladesh","Korean Air","South Korea","Bangladesh: Shahjalal International Airport (DAC)"
"Canada","Korean Air","South Korea","Canada: Toronto Pearson International Airport (YYZ)"
"China","Korean Air","South Korea","China: Beijing Capital International Airport (PEK)"
"Czech Republic","Korean Air","South Korea","Czech Republic: Václav Havel Airport Prague (PRG)"
"Denmark","Korean Air","South Korea","Denmark: Copenhagen Airport (CPH)"
"Finland","Korean Air","South Korea","Finland: Helsinki-Vantaa Airport (HEL)"
